EventId,EventTemplate,Occurrences
0906cb48,"Total HugeTLB memory allocated, <*>",1
f3b4bfda,Bringing up loopback interface: succeeded,1
158ceaf1,VFS: Disk quotas dquot_<*>.<*>.<*>,1
b0ab04b3,"Dquot-cache hash table entries: <*> (order <*>, <*> bytes)",1
6999d396,SELinux: Registering netfilter hooks,1
2b566107,Initializing Cryptographic API,1
fbcc2963,pci_hotplug: PCI Hot Plug PCI Core version: <*>.<*>,1
2bf1954b,isapnp: Scanning for PnP cards...,1
2e3d6c0c,isapnp: No Plug & Play device found,1
fae82c3a,Real Time Clock Driver v1.<*>,1
eb2ffdd1,Linux agpgart interface v0.<*> (c) Dave Jones,1
